1-·ÉÐÐÊ±¼ät		2-acc_x		3-acc_y		4-acc_z		5-gyro_x		6-gyro_y		7-gyro_z		
56.790000000		0.000579852		-0.001028948		0.001591059		0.000026319		0.000012411		0.000018516		
56.800000000		0.000632610		-0.001296048		0.001504371		0.000026502		0.000012006		0.000018241		
56.810000000		0.000839434		-0.001151698		0.001563780		0.000027069		0.000012668		0.000017457		
56.820000000		0.000793588		-0.001352102		0.001436851		0.000026831		0.000013201		0.000017044		
56.830000000		0.000702683		-0.001285944		0.001678836		0.000026714		0.000011637		0.000017928		
56.840000000		0.000704182		-0.001060890		0.001854844		0.000027167		0.000011979		0.000018054		
56.850000000		0.000785808		-0.001467654		0.001510853		0.000025936		0.000012222		0.000017403		
56.860000000		0.000698552		-0.001298721		0.001552577		0.000026202		0.000012597		0.000017389		
56.870000000		0.000985156		-0.001218860		0.001651367		0.000027693		0.000012953		0.000017450		
56.880000000		0.000732125		-0.001316069		0.001686810		0.000027493		0.000013717		0.000017923		
56.890000000		0.001067330		-0.001211838		0.001653287		0.000027261		0.000011508		0.000017723		
56.900000000		0.000914769		-0.001288145		0.001664731		0.000026776		0.000012992		0.000018051		
56.910000000		0.000899061		-0.001418268		0.001715015		0.000026980		0.000011772		0.000018081		
56.920000000		0.000767189		-0.001265852		0.001546060		0.000027674		0.000012185		0.000017706		
56.930000000		0.000735856		-0.001220443		0.001588170		0.000027782		0.000012203		0.000017995		
56.940000000		0.000823526		-0.001280024		0.001446098		0.000026824		0.000012728		0.000017134		
56.950000000		0.000649695		-0.001109882		0.001520881		0.000027047		0.000012487		0.000017842		
56.960000000		0.001057196		-0.001266274		0.001816139		0.000027460		0.000013120		0.000018320		
56.970000000		0.000927425		-0.001322341		0.001746621		0.000027438		0.000012695		0.000017381		
56.980000000		0.000772656		-0.001227345		0.001615868		0.000026941		0.000012420		0.000018898		
56.990000000		0.001187648		-0.001190228		0.001894792		0.000026408		0.000012251		0.000016809		
57.000000000		0.000936395		-0.001301601		0.001690235		0.000027294		0.000012359		0.000018612		
57.010000000		0.000807153		-0.001494034		0.001544206		0.000027412		0.000012313		0.000017550		
57.020000000		0.001127656		-0.001435085		0.001717681		0.000026891		0.000012255		0.000017927		
57.030000000		0.000988147		-0.001204323		0.001618868		0.000025849		0.000012422		0.000017320		
57.040000000		0.001134010		-0.001257283		0.001588385		0.000025680		0.000011901		0.000018930		
57.050000000		0.000982379		-0.001207277		0.001621646		0.000026165		0.000012019		0.000019130		
57.060000000		0.001043931		-0.001278925		0.001443675		0.000025505		0.000012714		0.000019478		
57.070000000		0.001112229		-0.001202346		0.001694821		0.000025910		0.000011651		0.000018289		
57.080000000		0.000991826		-0.001115851		0.001569870		0.000026980		0.000013249		0.000017264		
57.090000000		0.001079602		-0.001040375		0.001701052		0.000026926		0.000012547		0.000017354		
57.100000000		0.001155223		-0.001178669		0.001426004		0.000026324		0.000012098		0.000018873		
57.110000000		0.001047018		-0.001195446		0.001320963		0.000026468		0.000011852		0.000017968		
57.120000000		0.000990733		-0.001150979		0.001426431		0.000025975		0.000011395		0.000018014		
57.130000000		0.001172013		-0.001178569		0.001642372		0.000026779		0.000011785		0.000018767		
57.140000000		0.001097312		-0.001302014		0.001584544		0.000026202		0.000012390		0.000019033		
57.150000000		0.001129298		-0.001330055		0.001660973		0.000026441		0.000011257		0.000018250		
57.160000000		0.001118557		-0.001367207		0.001620011		0.000025920		0.000012427		0.000019219		
57.170000000		0.001102309		-0.001211276		0.001469752		0.000026507		0.000011878		0.000018573		
57.180000000		0.001291131		-0.001282811		0.001420404		0.000025783		0.000013184		0.000019161		
57.190000000		0.001306665		-0.001139888		0.001437527		0.000025407		0.000012770		0.000018499		
57.200000000		0.001310646		-0.001433994		0.001362702		0.000025576		0.000013606		0.000017956		
57.210000000		0.001535640		-0.001220543		0.001391394		0.000026414		0.000012391		0.000018222		
57.220000000		0.001281354		-0.001316386		0.001610341		0.000024930		0.000012377		0.000018122		
57.230000000		0.001317281		-0.001145967		0.001787609		0.000024529		0.000012418		0.000017987		
57.240000000		0.001449213		-0.001155471		0.001555717		0.000025640		0.000011964		0.000018784		
57.250000000		0.001126862		-0.001313546		0.001406199		0.000025386		0.000012409		0.000017743		
57.260000000		0.001466117		-0.001284366		0.001446122		0.000025093		0.000012873		0.000018479		
57.270000000		0.001439118		-0.001155287		0.001478097		0.000025563		0.000011356		0.000018344		
57.280000000		0.001259099		-0.001234167		0.001461567		0.000026083		0.000012245		0.000018573		
57.290000000		0.001298164		-0.001176265		0.001485585		0.000023257		0.000011866		0.000018330		
57.300000000		0.001208361		-0.001096955		0.001534911		0.000025489		0.000012620		0.000017488		
57.310000000		0.001171530		-0.001284503		0.001600956		0.000024529		0.000012925		0.000017702		
57.320000000		0.001373454		-0.001347440		0.001575339		0.000024688		0.000012247		0.000017802		
57.330000000		0.001216262		-0.001347838		0.001583247		0.000025445		0.000013005		0.000017925		
57.340000000		0.001206926		-0.001443476		0.001679708		0.000024638		0.000011679		0.000017851		
57.350000000		0.001223636		-0.001323999		0.001551202		0.000024121		0.000011953		0.000017259		
57.360000000		0.001303440		-0.001350863		0.001581708		0.000025225		0.000012066		0.000018129		
57.370000000		0.001292935		-0.001517117		0.001619639		0.000023418		0.000012043		0.000018451		
57.380000000		0.001288371		-0.001565796		0.001725286		0.000024239		0.000012437		0.000018396		
57.390000000		0.001144406		-0.001516874		0.001713724		0.000024391		0.000013027		0.000016850		
57.400000000		0.001236380		-0.001832528		0.001622001		0.000024766		0.000013274		0.000017422		
57.410000000		0.001146113		-0.001637812		0.001642244		0.000024908		0.000012334		0.000018336		
57.420000000		0.001185206		-0.001752170		0.001456190		0.000024786		0.000012284		0.000017615		
57.430000000		0.001243425		-0.001779536		0.001682060		0.000025388		0.000012258		0.000018157		
57.440000000		0.001107966		-0.001522952		0.001472483		0.000024990		0.000011854		0.000017972		
57.450000000		0.001079602		-0.001736579		0.001291625		0.000024981		0.000012435		0.000018532		
57.460000000		0.001214480		-0.001622984		0.001333408		0.000024619		0.000012722		0.000017197		
57.470000000		0.001219931		-0.001483965		0.001615387		0.000024374		0.000012602		0.000017224		
57.480000000		0.001418221		-0.001574438		0.001464754		0.000025121		0.000012137		0.000017935		
57.490000000		0.001092319		-0.001709712		0.001569693		0.000025401		0.000013431		0.000016994		
57.500000000		0.001081060		-0.001494513		0.001483809		0.000024835		0.000013204		0.000016458		
57.510000000		0.001143341		-0.001735981		0.001714480		0.000024180		0.000012547		0.000016089		
57.520000000		0.001207793		-0.001637692		0.001721803		0.000024830		0.000012846		0.000016515		
57.530000000		0.001147333		-0.001560599		0.001691023		0.000025146		0.000013373		0.000017553		
57.540000000		0.001088968		-0.001662720		0.001572830		0.000025508		0.000012840		0.000015739		
57.550000000		0.000899318		-0.001650241		0.001546833		0.000024421		0.000012480		0.000017006		
57.560000000		0.000972088		-0.001706807		0.001416339		0.000024814		0.000013254		0.000017080		
57.570000000		0.000918614		-0.001672187		0.001479366		0.000024730		0.000012765		0.000016371		
57.580000000		0.001017580		-0.001784530		0.001535971		0.000024915		0.000011788		0.000016086		
57.590000000		0.000989011		-0.001607660		0.001735119		0.000025148		0.000012136		0.000016621		
57.600000000		0.001016003		-0.001788134		0.001713918		0.000025765		0.000013710		0.000016226		
57.610000000		0.001055740		-0.001588831		0.001527351		0.000026385		0.000012822		0.000016662		
57.620000000		0.001017250		-0.001740699		0.001704409		0.000025642		0.000012243		0.000016552		
57.630000000		0.001093967		-0.001828538		0.001768340		0.000025896		0.000013020		0.000016445		
57.640000000		0.000732860		-0.001989177		0.001694064		0.000026099		0.000012920		0.000017106		
57.650000000		0.000893444		-0.002088556		0.001698901		0.000025641		0.000012184		0.000017087		
57.660000000		0.001082945		-0.001865975		0.001561355		0.000026982		0.000012147		0.000016095		
57.670000000		0.000882699		-0.001789941		0.001614080		0.000026366		0.000013517		0.000017671		
57.680000000		0.001003147		-0.002008256		0.001358412		0.000026081		0.000013201		0.000016365		
57.690000000		0.000935391		-0.001863819		0.001406446		0.000026257		0.000014358		0.000016002		
57.700000000		0.000832599		-0.001821521		0.001683688		0.000026796		0.000014060		0.000016047		
57.710000000		0.000903204		-0.001849724		0.001555218		0.000027007		0.000013150		0.000015998		
57.720000000		0.000966308		-0.001938861		0.001633302		0.000027202		0.000014832		0.000015325		
57.730000000		0.000834538		-0.001961448		0.001504809		0.000027239		0.000013065		0.000015692		
57.740000000		0.000981738		-0.001865868		0.001524375		0.000027388		0.000013607		0.000016095		
57.750000000		0.000717696		-0.002038663		0.001492598		0.000027696		0.000013585		0.000015513		
57.760000000		0.000848752		-0.002021963		0.001680928		0.000027306		0.000013168		0.000015968		
57.770000000		0.001038877		-0.001859527		0.001829285		0.000028022		0.000013442		0.000016552		
57.780000000		0.000948478		-0.002001522		0.001786091		0.000027282		0.000013579		0.000015635		
57.790000000		0.000655664		-0.001907266		0.001698196		0.000026813		0.000012532		0.000015805		
57.800000000		0.000932799		-0.002065207		0.001797390		0.000027907		0.000013113		0.000016505		
57.810000000		0.000913786		-0.001930705		0.001622067		0.000026445		0.000013094		0.000016305		
57.820000000		0.000890560		-0.002026301		0.001696859		0.000027276		0.000012752		0.000016098		
57.830000000		0.000842985		-0.002166820		0.001661980		0.000026433		0.000012296		0.000015795		
57.840000000		0.000947940		-0.002059483		0.001771257		0.000025954		0.000012877		0.000014448		
57.850000000		0.000935881		-0.002082633		0.001723517		0.000026892		0.000011603		0.000016768		
57.860000000		0.000876901		-0.002037273		0.001798543		0.000025268		0.000013035		0.000016407		
57.870000000		0.000894505		-0.002056184		0.001715487		0.000026423		0.000012090		0.000015624		
57.880000000		0.000780010		-0.001873940		0.001676680		0.000026878		0.000013082		0.000016401		
57.890000000		0.000768611		-0.001913957		0.001818011		0.000025766		0.000012138		0.000016292		
57.900000000		0.000897935		-0.002113563		0.001883708		0.000026734		0.000011617		0.000015395		
57.910000000		0.000908513		-0.001799549		0.001735977		0.000026467		0.000011666		0.000016104		
57.920000000		0.000754066		-0.002004195		0.001743189		0.000027487		0.000011731		0.000015318		
57.930000000		0.000833100		-0.002154161		0.001712019		0.000027627		0.000011953		0.000015324		
57.940000000		0.000808143		-0.002047452		0.001590196		0.000026187		0.000010972		0.000015030		
57.950000000		0.000864583		-0.002044754		0.001721002		0.000026406		0.000011962		0.000015425		
57.960000000		0.000617147		-0.002035268		0.001886857		0.000027055		0.000011178		0.000014888		
57.970000000		0.000587356		-0.002030507		0.001736948		0.000025483		0.000011867		0.000015372		
57.980000000		0.000729993		-0.002194255		0.001639971		0.000026540		0.000010647		0.000016004		
57.990000000		0.000756135		-0.001864857		0.001618098		0.000026791		0.000011167		0.000014768		
58.000000000		0.000796466		-0.002113403		0.001573451		0.000026616		0.000011773		0.000014544		
58.010000000		0.000898208		-0.001976926		0.001387316		0.000025856		0.000011474		0.000014516		
